A,B,C,D,MINA,MINB,MINC,MIND,MAXA,MAXB,MAXC,MAXD,NORMA,NORMB,NORMC,NORMD
-214.530947,610.13185,1.11780574,-1.215235429,-727.70,65.06001755,-6.300783971,-6.364637416,745.4593385,722.8676448,7.994754547,7.993962651,0.287783566,-0.844043656,-0.139817393,0.152019153
-213.3157116,609.0140443,1.11780574,-1.34844051,-727.70,65.06001755,-6.300783971,-6.364637416,745.4593385,722.8676448,7.994754547,7.993962651,0.286153383,-0.842497307,-0.139817393,0.168682363
-211.967271,607.8962385,1.21780574,-1.30844051,-727.70,65.06001755,-6.300783971,-6.364637416,745.4593385,722.8676448,7.994754547,7.993962651,0.284344511,-0.840950958,-0.152325595,0.163678587
-210.6588305,606.6784328,1.31780574,-1.26844051,-727.70,65.06001755,-6.300783971,-6.364637416,745.4593385,722.8676448,7.994754547,7.993962651,0.282589297,-0.839266271,-0.164833796,0.158674811
-209.39039,605.3606271,1.41780574,-1.22844051,-727.70,65.06001755,-6.300783971,-6.364637416,745.4593385,722.8676448,7.994754547,7.993962651,0.280887742,-0.837443246,-0.177341997,0.153671034
-208.1619495,603.9428213,1.51780574,-1.18844051,-727.70,65.06001755,-6.300783971,-6.364637416,745.4593385,722.8676448,7.994754547,7.993962651,0.279239844,-0.835481883,-0.189850199,0.148667258
-206.973509,602.4250156,1.61780574,-1.14844051,-727.70,65.06001755,-6.300783971,-6.364637416,745.4593385,722.8676448,7.994754547,7.993962651,0.277645605,-0.833382183,-0.2023584,0.143663482
-205.8250685,600.8072098,1.71780574,-1.10844051,-727.70,65.06001755,-6.300783971,-6.364637416,745.4593385,722.8676448,7.994754547,7.993962651,0.276105024,-0.831144144,-0.214866602,0.138659706
-204.716628,599.0894041,1.81780574,-1.06844051,-727.70,65.06001755,-6.300783971,-6.364637416,745.4593385,722.8676448,7.994754547,7.993962651,0.274618101,-0.828767767,-0.227374803,0.13365593
-203.6481875,597.2715984,1.91780574,-1.02844051,-727.70,65.06001755,-6.300783971,-6.364637416,745.4593385,722.8676448,7.994754547,7.993962651,0.273184836,-0.826253053,-0.239883004,0.128652154
-202.619747,595.3537926,2.01780574,-0.98844051,-727.70,65.06001755,-6.300783971,-6.364637416,745.4593385,722.8676448,7.994754547,7.993962651,0.27180523,-0.8236,-0.252391206,0.123648377
-201.6313065,593.3359869,2.023911427,-1.125030029,-727.70,65.06001755,-6.300783971,-6.364637416,745.4593385,722.8676448,7.994754547,7.993962651,0.270479282,-0.82080861,-0.253154917,0.140734962
-200.5062764,591.3120754,2.036237198,-1.264788838,-727.70,65.06001755,-6.300783971,-6.364637416,745.4593385,722.8676448,7.994754547,7.993962651,0.268970105,-0.818008773,-0.25469665,0.158218007
